Namespace(exp_name='geoai', model='dgcnn', dataset='S3DIS', test_area='4', batch_size=16, test_batch_size=8, epochs=250, use_sgd=False, lr=0.001, step_size=10, lr_decay=0.7, momentum=0.9, scheduler='cos', no_cuda=False, seed=1, eval=False, num_points=4096, dropout=0.5, emb_dims=1024, k=20, model_root='')
Using GPU : 0 from 1 devices
Test 32, loss: 0.154450, test acc: 0.937418, test avg acc: 0.941747, test iou: 0.879146
Train 33, loss: 0.098080, train acc: 0.960148, train avg acc: 0.940874, train iou: 0.889750
Test 33, loss: 0.187483, test acc: 0.919848, test avg acc: 0.930966, test iou: 0.849292
Train 34, loss: 0.097874, train acc: 0.960245, train avg acc: 0.941129, train iou: 0.890025
Test 34, loss: 0.186463, test acc: 0.925310, test avg acc: 0.934762, test iou: 0.858518
Train 35, loss: nan, train acc: 0.890400, train avg acc: 0.763150, train iou: 0.694355
Test 35, loss: nan, test acc: 0.601160, test avg acc: 0.500000, test iou: 0.300580
Train 36, loss: nan, train acc: 0.787163, train avg acc: 0.500000, train iou: 0.393581
Test 36, loss: nan, test acc: 0.601160, test avg acc: 0.500000, test iou: 0.300580
Train 37, loss: nan, train acc: 0.787181, train avg acc: 0.500000, train iou: 0.393590
Test 37, loss: nan, test acc: 0.601160, test avg acc: 0.500000, test iou: 0.300580
Train 38, loss: nan, train acc: 0.787268, train avg acc: 0.500000, train iou: 0.393634
Test 38, loss: nan, test acc: 0.601160, test avg acc: 0.500000, test iou: 0.300580
Train 39, loss: nan, train acc: 0.787168, train avg acc: 0.500000, train iou: 0.393584
Test 39, loss: nan, test acc: 0.601160, test avg acc: 0.500000, test iou: 0.300580
Train 40, loss: nan, train acc: 0.787181, train avg acc: 0.500000, train iou: 0.393591
Test 40, loss: nan, test acc: 0.601160, test avg acc: 0.500000, test iou: 0.300580
Train 41, loss: nan, train acc: 0.787225, train avg acc: 0.500000, train iou: 0.393612
Test 41, loss: nan, test acc: 0.601160, test avg acc: 0.500000, test iou: 0.300580
Train 42, loss: nan, train acc: 0.787203, train avg acc: 0.500000, train iou: 0.393602
Test 42, loss: nan, test acc: 0.601160, test avg acc: 0.500000, test iou: 0.300580
Train 43, loss: nan, train acc: 0.787206, train avg acc: 0.500000, train iou: 0.393603
Test 43, loss: nan, test acc: 0.601160, test avg acc: 0.500000, test iou: 0.300580
Train 44, loss: nan, train acc: 0.787223, train avg acc: 0.500000, train iou: 0.393612
Test 44, loss: nan, test acc: 0.601160, test avg acc: 0.500000, test iou: 0.300580
Train 45, loss: nan, train acc: 0.787214, train avg acc: 0.500000, train iou: 0.393607
Test 45, loss: nan, test acc: 0.601160, test avg acc: 0.500000, test iou: 0.300580
Train 46, loss: nan, train acc: 0.787168, train avg acc: 0.500000, train iou: 0.393584
Test 46, loss: nan, test acc: 0.601160, test avg acc: 0.500000, test iou: 0.300580
Train 47, loss: nan, train acc: 0.787221, train avg acc: 0.500000, train iou: 0.393611
Test 47, loss: nan, test acc: 0.601160, test avg acc: 0.500000, test iou: 0.300580
Train 48, loss: nan, train acc: 0.787231, train avg acc: 0.500000, train iou: 0.393616
Test 48, loss: nan, test acc: 0.601160, test avg acc: 0.500000, test iou: 0.300580
Train 49, loss: nan, train acc: 0.787223, train avg acc: 0.500000, train iou: 0.393611
Test 49, loss: nan, test acc: 0.601160, test avg acc: 0.500000, test iou: 0.300580
